Show Id,Title,Description,Director,Genres,Cast,Production Country,Release Date,Rating,Duration(min),Imdb Score,Content Type,Date Added,Season Count
5ce7f4a9-2273-4996-bc1e-e8cfd3414c2a,RattleSnake - The Ahanna Story,"In this stylish remake, a disillusioned mastermind assembles a team to pull off a series of spectacular heists — but his crimes make too many enemies.",Ramsey Nouah,"Dramas, International Movies, Thrillers","Stan Nze, Osas Ighodaro, Bucci Franklin, Odera Adimorah, Efa Iwara, Emeka Nwagbaraocha, Elma Mbadiwe, Norbert Young, Brutus Richard, Chinyere Wilfred, Sonny McDon, Chiwetalu Agu",Nigeria,2020,TV-MA,136,,Movie,"July 2, 2021",
97e8baae-dca8-44ac-b91e-06c3d24b1ec0,Skin,"On a quest to find beauty in all complexions, actress Beverly Naya travels to her home country of Nigeria and explores colorism's impact on society.",Daniel Effiong,"Documentaries, International Movies",Beverly Naya,Nigeria,2019,TV-MA,76,7.3,Movie,"June 28, 2020",
83685ffb-244f-45a1-abf2-0f3dab70c461,Slow Country,"Desperate to leave a life of prostitution, a teenage mother attempts to outsmart her ruthless boss who is determined to keep his prized asset.",Eric Aghimien,"Dramas, International Movies","Ivie Okujaye, Sambasa Nzeribe, Tope Tedela, Gina Castel, Majid Michel, Victor Erabie, Brutus Richard, Adebayo Thomas",Nigeria,2017,TV-MA,115,4.4,Movie,"December 6, 2019",
1310b4b5-aa8d-4c62-a54a-0ab7700a4bf8,Small Chops,"When a business mogul hires an exotic dancer for a weekend of entertainment, it quickly morphs into a messy situation full of misunderstanding.",Robert Peters,"Dramas, International Movies, Romantic Movies","Chika Ike, Max Cavenham, Nkem Owoh, Nse Ikpe-Etim, Toyin Abraham, Eucharia Anunobi, Sophie Alakija, Hafis Ayetoro, Omotunde Adebowale David",Nigeria,2020,TV-MA,98,,Movie,"June 5, 2021",
8cb75819-a4b3-4cc9-a5f8-9c8ee32ef925,Sons of the Caliphate,"Three wealthy, power-hungry men tussle for sovereignty amid corrupt politics, passionate desires and family obligations.",,"International TV Shows, TV Dramas","Yakubu Mohammed, Paul Sambo, Mofe Duncan, Nita Byack George, Yvonne Hays, Mickey Odey, Rahama Sadau, Sani Muazu",Nigeria,2017,TV-14,2 Seasons,7.2,TV Show,"January 24, 2020",2
6d01a9c5-9d80-4a2b-ac5d-1419d52f0998,Sugar Rush,"After discovering a huge sum of money, a trio of sisters swipes it for personal use until the authorities and a shady mob boss come to collect the cash.",Kayode Kasum,"Comedies, International Movies","Adesua Etomi, Bisola Aiyeola, Bimbo Ademoye, Omoni Oboli, Toke Makinwa, Banky Wellington",Nigeria,2019,TV-14,123,7,Movie,"July 4, 2020",
9e68d425-3adc-4cd8-b007-b8e1fd7c93dc,Sylvia,"When a man outgrows a childhood friendship and commits to marrying his girlfriend, obsession and spiritual warfare soon disrupt his peaceful life.",Daniel Oriahi,"Dramas, International Movies, Thrillers","Chris Attoh, Zainab Balogun, Ini Dima-Okojie, Udoka Onyeka, Lord Frank, Bolaji Ogunmola, Ijeoma Grace Agu, Omotunde Adebowale David",Nigeria,2018,TV-14,104,5.2,Movie,"July 15, 2020",
efb559e7-6b21-41cf-9933-c99ce4a18bf6,Tango With Me,A newly married couple journeys through self-discovery and healing while dealing with the aftermath of a traumatic event on their wedding night.,Mahmood Ali-Balogun,"Dramas, International Movies, Romantic Movies","Genevieve Nnaji, Joseph Benjamin, Joke Silva, Tina Mba, Ahmed Yerima, Bimbo Manuel, Sade Alder-Hayes",Nigeria,2010,TV-14,104,6.4,Movie,"July 7, 2021",
8c4076b9-65d8-4e2d-b815-cc2ac301412d,Tatu,"Doubting her future as a nun, a woman attempts to have a child, triggering a mystic tribal prophecy that could force her to make a godly sacrifice.",Don Omope,"Action & Adventure, Dramas, International Movies","Rahama Sadau, Sambasa Nzeribe, Segun Arinze, Gabriel Afolayan, Desmond Elliot, Funlola Aofiyebi, Toyin Aimakhu, Stephen Demian, Afeez Oyetoro, Oludara Egerton Shyngle",Nigeria,2017,TV-MA,101,,Movie,"October 18, 2019",
3e1d4dad-f509-463d-91ed-f3feb662f9fe,Taxi Driver,"After his father dies, a young mechanic moves to the city to drive the old man’s taxi, and encounters assassins and a motley crew of urban weirdos.",Daniel Oriahi,"Comedies, Dramas, Independent Movies","Odunlade Adekola, Ijeoma Grace Agu, Richard Akinlade, Babajide Alimison, Hafeez Oyetoro, Femi Jacobs, Toyin Oshinaike, Kelechi Udegbe",Nigeria,2015,TV-MA,94,6,Movie,"February 26, 2020",
